Code,2016,2018,2020
AL,4866824,4891628,4921532
AK,742575,736624,731158
AZ,6944767,7164228,7421401
AR,2991815,3012161,3030522
CA,39149186,39437463,39368078
CO,5543844,5697155,5807719
CT,3579830,3574561,3557006
DE,949989,966985,986809
DC,687576,704147,712816
FL,20627237,21254926,21733312
GA,10308442,10519389,10710017
HI,1428885,1423102,1407006
ID,1684036,1752074,1826913
IL,12821709,12724685,12587530
IN,6637898,6698481,6754953
IA,3133210,3149900,3163561
KS,2912977,2912748,2913805
KY,4440306,4464273,4477251
LA,4681346,4664450,4645318
ME,1332348,1340123,1350141
MD,6007014,6042153,6055802
MA,6827280,6885720,6893574
MI,9954117,9987286,9966555
MN,5525360,5608762,5657342
MS,2990595,2982879,2966786
MO,6091384,6125986,6151548
MT,1042137,1061818,1080577
NE,1906483,1925512,1937552
NV,2919555,3030725,3138259
NH,1343694,1355064,1366275
NJ,8873584,8891730,8882371
NM,2092555,2093754,2106319
NY,19636391,19544098,19336776
NC,10161802,10391358,10600823
ND,756114,760062,765309
OH,11640060,11680892,11693217
OK,3928143,3943488,3980783
OR,4093271,4183538,4241507
PA,12788468,12809107,12783254
RI,1057816,1059338,1057125
SC,4963031,5091702,5218040
SD,863693,879386,892717
TN,6651277,6778180,6886834
TX,27914064,28624564,29360759
UT,3044241,3155153,3249879
VT,624366,624802,623347
VA,8417651,8510920,8590563
WA,7299961,7526793,7693612
WV,1832435,1805953,1784787
WI,5775170,5809319,5832655
WY,585243,579054,582328
